-7.0039194,-33.5844027
-8.593317,-33.8781313
-11.0501961,-34.7073182
-13.0059822,-35.3992137
-14.5847784,-35.8109984
-16.1739399,-36.1678887
-17.1317471,-36.8709006
-18.2520586,-37.601361
-18.5746459,-38.0242452
-19.593117,-39.3866499
-21.2813329,-40.3860972
-22.3146351,-41.0311886
-23.0743832,-41.8990026
-23.0921256,-43.0830062
-23.1428789,-44.0046555
-23.001345,-44.0855015
-23.191417,-44.0432399
-23.7529296,-44.7967514
-24.3046067,-45.6701808
-24.7093292,-46.7632805
-25.2411701,-47.8220361
-27.4054997,-48.1090829
-27.8200604,-48.3985177
-28.3285567,-48.4684233
-28.9604911,-48.8282047
-29.4976396,-49.3599428
-31.0008751,-50.0634933
-32.5686537,-51.9204467
-33.361325,-52.5246283
-34.1833383,-53.3045698
-35.0065251,-54.0186246
-35.0156057,-56.0072
-34.8404502,-56.7261756
-34.5444248,-57.8738278
-34.3041423,-58.0714249
-34.5444248,-57.8738278
-34.835428,-56.7491695
-35.0062413,-56.7651935
-35.7549328,-56.7157913
-36.4184306,-56.5728106
-37.0819376,-56.6434615
-38.3072491,-57.5174061
-38.7297722,-58.7780014
-39.001875,-60.4453174
-39.0121229,-61.8403152
-39.0894515,-61.8585021
-39.1150303,-61.8392712
-39.1969808,-61.8117904
-39.2672378,-61.8392475
-39.1491399,-62.1111926
-39.0894719,-62.2526579
-39.2555808,-62.1523783
-39.3352686,-61.979322
-39.9939084,-62.0437712
-40.1790353,-62.1824488
-40.4636481,-62.0436998
-40.8470759,-62.153511
-41.0669819,-62.433646
-42.4045386,-63.3399207
-43.2688752,-63.9556131
-43.3135962,-64.6059581
-42.9897404,-64.2638596
-42.8905622,-64.3261541
-42.5939362,-64.5349606
-42.9940399,-64.2338688
-43.2772152,-64.3752354
-43.2750282,-64.3722106
-43.2772152,-64.3752354
-44.008138,-65.1595812
-44.2199416,-65.1386677
-45.1245151,-65.5258599
-45.5136126,-66.4212507
-46.5801947,-66.7251847
-47.0043581,-65.5166966
-47.9408043,-65.6821934
